ARR_DELAY,DELAY_15,TEXT_DATA,UNIQUE_CARRIER,count,Description
,,Denver,ORIGIN_CITY,,
,,Denver Intl,ORIGIN_NAME,,
,,Chicago,DEST-CITY,,
,,Chicago Ohare Intl,DEST_NAME,,
,,1426,DIST,,
,,"
<script
    src=""static/bokeh_js/DEN_ORD.js""
    id=""37fd1609-4100-4283-9491-e068d14db219""
    data-bokeh-model-id=""fa7209d5-3773-43eb-af8f-a8b177ee50c6""
    data-bokeh-doc-id=""8dce9866-8a36-42f4-b877-f63ce3cca75d""
></script>",TAG,,
16.96,,,DEP_DELAY,,
15.0,,,AVG_FLIGHTS,,
25.07,,,PERCENT_DELAYED,,
18.03,,,POS_ARR_DELAY,,
36.57,49.17,,MQ,3.35,Envoy Air
19.27,28.88,,F9,8.21,Frontier Airlines 
20.26,27.52,,NK,5.89,Spirit Air Lines
20.17,25.13,,AA,17.76,American Airlines 
16.13,23.09,,UA,64.6,United Air Lines 
