ARR_DELAY,DELAY_15,TEXT_DATA,UNIQUE_CARRIER,count,Description
,,Denver,ORIGIN_CITY,,
,,Denver Intl,ORIGIN_NAME,,
,,St. Louis,DEST-CITY,,
,,Lambert St Louis Intl,DEST_NAME,,
,,1236,DIST,,
,,"
<script
    src=""static/bokeh_js/DEN_STL.js""
    id=""62be81a9-02ad-46fd-9191-c1c97cca0e9a""
    data-bokeh-model-id=""f083850e-db8e-45b2-a766-357b85ee8a68""
    data-bokeh-doc-id=""24c0a6d0-7e29-4df3-95e7-6b753ec8b76a""
></script>",TAG,,
14.17,,,DEP_DELAY,,
6.0,,,AVG_FLIGHTS,,
23.45,,,PERCENT_DELAYED,,
13.83,,,POS_ARR_DELAY,,
19.38,28.05,,F9,20.75,Frontier Airlines 
12.46,23.34,,WN,61.81,Southwest Airlines 
13.93,21.27,,EV,3.99,ExpressJet Airlines 
11.26,17.96,,OO,12.1,SkyWest Airlines 
13.9,13.33,,UA,1.34,United Air Lines 
