ARR_DELAY,DELAY_15,TEXT_DATA,UNIQUE_CARRIER,count,Description
,,Chicago,ORIGIN_CITY,,
,,Chicago Ohare Intl,ORIGIN_NAME,,
,,Las Vegas,DEST-CITY,,
,,Mc Carran Intl,DEST_NAME,,
,,2432,DIST,,
,,"
<script
    src=""static/bokeh_js/ORD_LAS.js""
    id=""bf151cc7-073b-4f4f-b802-d690d9205956""
    data-bokeh-model-id=""5c331d70-e890-420e-9756-d9b201796401""
    data-bokeh-doc-id=""28306d41-b967-4242-bd50-875d30eb9864""
></script>",TAG,,
18.27,,,DEP_DELAY,,
11.0,,,AVG_FLIGHTS,,
26.67,,,PERCENT_DELAYED,,
17.18,,,POS_ARR_DELAY,,
25.7,35.25,,F9,7.11,Frontier Airlines 
19.93,31.77,,NK,12.8,Spirit Air Lines
15.37,25.45,,AA,39.9,American Airlines 
16.59,24.76,,UA,40.18,United Air Lines 
0.0,0.0,,OO,0.01,SkyWest Airlines 
